"Date","Open","High","Low","Close","Adj.Close","Volume","MA_20","MA_50"
2018-02-05,262,267.899994,250.029999,254.259995,254.259995,11896100,NA,NA
2018-02-06,247.699997,266.700012,245,265.720001,265.720001,12595800,NA,NA
2018-02-07,266.579987,272.450012,264.329987,264.559998,264.559998,8981500,NA,NA
2018-02-08,267.079987,267.619995,250,250.100006,250.100006,9306700,NA,NA
2018-02-09,253.850006,255.800003,236.110001,249.470001,249.470001,16906900,NA,NA
2018-02-12,252.139999,259.149994,249,257.950012,257.950012,8534900,NA,NA
2018-02-13,257.290009,261.410004,254.699997,258.269989,258.269989,6855200,NA,NA
2018-02-14,260.470001,269.880005,260.329987,266,266,10972000,NA,NA
2018-02-15,270.029999,280.5,267.630005,280.269989,280.269989,10759700,NA,NA
2018-02-16,278.730011,281.959991,275.690002,278.519989,278.519989,8312400,NA,NA
2018-02-20,277.73999,285.809998,276.609985,278.549988,278.549988,7769000,NA,NA
2018-02-21,282.070007,286.640015,280.01001,281.040009,281.040009,9371100,NA,NA
2018-02-22,283.880005,284.5,274.450012,278.140015,278.140015,8891500,NA,NA
2018-02-23,281,286,277.809998,285.929993,285.929993,7301800,NA,NA
2018-02-26,288.75,295.649994,287.01001,294.160004,294.160004,10268600,NA,NA
2018-02-27,294.769989,297.359985,290.589996,290.609985,290.609985,9416500,NA,NA
2018-02-28,293.100006,295.75,290.779999,291.380005,291.380005,7653500,NA,NA
2018-03-01,292.75,295.25,283.829987,290.390015,290.390015,11932100,NA,NA
2018-03-02,284.649994,301.179993,283.230011,301.049988,301.049988,13345300,NA,NA
2018-03-05,302.850006,316.910004,297.600006,315,315,18986100,276.5684991,NA
2018-03-06,319.880005,325.790009,316.5,325.220001,325.220001,18525800,280.1164994,NA
2018-03-07,320,323.73999,314.549988,321.160004,321.160004,17132200,282.88849955,NA
2018-03-08,322.200012,322.920013,314.130005,317,317,11340100,285.51049965,NA
2018-03-09,321.329987,331.440002,320.230011,331.440002,331.440002,14500200,289.57749945,NA
2018-03-12,333.559998,333.980011,318.600006,321.299988,321.299988,20369200,293.1689988,NA
2018-03-13,323.869995,325.839996,313.279999,315.880005,315.880005,12917200,296.06549845,NA
